id,name,year_founded,country,industry,founder_count,founder_experience,previous_startups,product_stage,product_uniqueness,competitors_count,revenue,burn_rate,total_investment,active_users,user_growth_rate,retention,user_reviews,nps,innovation_score,financial_stability,risk_score,cash_reserves,market_size,market_growth_rate,success
59,Lee-Davis,2006,India,IoT,5,12,0,Idea,4,4,975380.87,1844199.8,17148220.92,67322.6,7.34,57.48,7,78,8,3.0,3,15265152.07,542281552.81,19.53,Success
60,Gomez-Jenkins,2014,UK,FoodTech,4,15,0,Growth,9,10,7661362.96,79442.4,15471227.4,712416.0,46.46,12.06,20,-58,3,4.0,7,15332366.77,75930728.0,44.74,Success
61,"Brown, Valdez and Lucas",2008,France,CleanTech,5,19,0,Scale,7,6,3158212.56,559589.75,13423698.0,21266.0,27.79,40.35,95,-31,9,8.0,1,12906713.2,173962813.68,44.56,Success
62,Powell LLC,2018,UK,E-Commerce,4,5,1,MVP,8,2,6193692.83,114172.2,7698410.89,219970.0,7.66,79.66,63,-30,3,6.0,6,7637106.74,558593866.57,26.54,Fail
63,Wright and Sons,2020,Canada,FoodTech,1,10,1,Maturity,6,6,496920.84,389208.46,2197241.91,898279.0,67.04,94.0,4,-92,4,7.0,1,1344853.32,925227332.06,29.02,Fail
64,"West, Henderson and Ramirez",2019,India,AI,1,2,1,Scale,10,4,2663949.17,247966.67,9677936.56,173909.0,97.73,61.44,33,71,4,6.0,4,9525756.78,203592982.07,0.14,Unclear
65,Baxter Inc,2012,Israel,HealthTech,5,19,0,Scale,8,9,7183904.9,1465323.25,2113332.6,768273.0,37.89,39.42,8,91,2,5.0,8,1795968.44,368873195.72,16.9,Success
66,Morton-Chase,2018,China,Blockchain,4,9,0,Maturity,0,5,5700935.7,738751.88,10002944.54,668012.0,29.73,25.2,37,-11,0,9.0,4,9038585.01,448425912.34,38.04,Fail
67,Williams PLC,2012,Germany,Blockchain,4,0,1,Idea,8,5,469672.85,1850088.54,16405865.42,80022.1,9.0,42.2,42,-99,9,7.0,3,12471412.5,953964466.35,49.7,Fail
68,Novak and Sons,2020,China,AI,2,19,0,Growth,2,10,6908760.6,46755.44,19952762.69,638912.0,22.31,56.57,95,63,0,10.0,7,19871407.24,738258836.76,47.26,Fail
69,Russell Group,2017,China,EdTech,3,10,0,Scale,5,10,3984588.91,1305848.37,3960174.23,405971.0,28.5,0.44,9,-98,7,2.0,4,3002707.37,338830695.94,4.73,Fail
70,Hancock Inc,2022,France,CleanTech,5,11,0,Scale,7,3,261561.45,1941089.6,4157160.85,42608.0,34.42,26.87,11,81,3,1.0,8,0.0,278652813.04,20.86,Unclear
71,Gray Group,2019,India,E-Commerce,3,13,0,Idea,2,7,441026.62,351677.44,16217666.64,16576.4,63.4,67.15,98,48,10,6.0,8,16115231.23,523319653.86,2.73,Fail
72,House-Glover,2017,UK,EdTech,3,7,1,Scale,3,8,9021291.92,884864.46,9381172.65,554955.0,11.49,67.32,17,94,9,0.0,1,7601753.21,387564069.83,41.87,Success
73,Henderson-Bernard,2013,Australia,AI,5,10,0,Growth,6,1,8566151.28,1403779.78,18316091.92,854666.0,5.84,65.3,86,-92,10,2.0,9,15761165.08,620630257.49,36.5,Success
74,"Stanley, Tucker and Lee",2019,Germany,FoodTech,4,3,1,Maturity,6,8,4089971.85,1266276.0,15379924.75,503511.0,93.06,94.99,11,-89,1,6.0,8,11965074.54,539407806.63,46.09,Unclear
75,Novak PLC,2017,Singapore,CleanTech,5,6,0,MVP,3,10,222214.41,1132054.26,14728555.29,47929.0,79.92,56.85,30,99,5,3.0,10,12939026.63,43427631.46,25.09,Success
76,"Daniels, Adkins and Brown",2005,France,CleanTech,3,9,1,MVP,8,3,6363072.73,653512.25,2039074.17,386321.0,27.82,26.97,10,64,8,6.0,7,433425.55,83730489.76,5.16,Success
77,"Woods, Calhoun and Schmidt",2011,Germany,EdTech,4,18,1,Maturity,2,5,7411944.28,1456399.91,717511.3,451911.0,63.88,81.16,97,64,4,4.5,9,0.0,142709171.95,29.2,Success
78,Yu Inc,2013,Israel,FoodTech,1,3,0,Maturity,7,6,2942435.76,1306510.55,6335256.39,764764.0,59.25,38.94,26,3,2,9.0,6,4197875.9,654241775.04,43.36,Success
79,Jones Inc,2005,Canada,HealthTech,5,1,1,Maturity,7,3,4766640.0,325600.57,4345967.22,223415.0,74.3,23.93,20,94,3,5.0,5,3825694.09,977477998.72,2.5,Success
80,"Hensley, Powell and David",2016,India,AI,5,20,1,Idea,3,7,991856.8,1928181.46,14246177.72,8078.900000000001,85.93,55.67,73,-45,1,3.0,3,12537817.08,458094362.54,40.74,Fail
81,"Sanchez, Wheeler and Harvey",2012,Singapore,SaaS,4,17,0,MVP,6,9,5763430.13,1111345.82,9014674.48,79671.0,35.78,28.9,12,4,6,6.0,10,8997715.84,157901920.16,31.18,Unclear
82,Sandoval-Cunningham,2015,France,EdTech,1,13,1,Scale,3,7,3510749.06,1050923.2,10462927.49,747500.0,66.08,39.62,44,-38,3,7.0,6,8116480.2,613944601.11,6.61,Success
83,Donovan-Harris,2023,China,AI,1,15,0,Idea,0,0,627488.88,1696473.36,16274829.66,84499.3,80.2,69.32,46,53,3,7.0,5,14255991.68,629155191.68,32.96,Success
84,"Edwards, Baker and Anderson",2021,USA,HealthTech,4,10,1,Growth,0,7,1800223.07,1280827.02,9570093.64,982806.0,69.93,99.59,24,-55,7,6.0,7,8416990.99,758197957.17,3.1,Fail
85,"Evans, Stewart and Walton",2012,France,FinTech,2,9,0,Maturity,0,9,1992523.73,148958.57,10898526.42,344335.0,92.21,64.47,76,80,9,1.0,0,10811791.94,712731547.59,8.72,Fail
86,Smith PLC,2007,USA,E-Commerce,5,16,0,Scale,1,2,9249247.15,1013178.75,16846405.33,116011.0,49.47,27.65,63,-41,4,7.0,2,14257578.7,690964024.39,2.92,Success
87,"Ferrell, Jones and Lewis",2007,China,IoT,5,13,0,MVP,5,4,2392000.41,1561192.99,8626716.19,368199.0,80.26,9.05,69,-69,2,4.0,7,7062982.28,727591244.73,29.22,Success
88,Anderson-Bailey,2005,Canada,SaaS,3,3,0,Scale,9,9,3107893.79,1399960.24,1662534.16,539405.0,90.97,36.2,98,-10,5,4.0,1,805960.01,821032835.81,14.39,Unclear
89,Suarez LLC,2009,India,IoT,4,18,0,Idea,10,7,543777.24,1941537.45,10434104.19,8487.2,55.71,1.93,27,89,7,5.0,8,7385174.84,896503414.33,14.42,Success
90,Moore-Bass,2014,UK,IoT,3,1,1,Scale,4,10,8996926.2,49832.56,11587233.68,16714.0,1.73,46.48,19,74,9,3.0,1,11470348.95,13372107.78,32.32,Fail
91,"Turner, Riggs and Roman",2011,France,FoodTech,3,6,1,Maturity,10,5,7814488.9,522437.91,10235936.09,431855.0,81.8,66.0,83,-40,0,8.0,8,9291685.89,669557733.79,5.5,Success
92,"Smith, Montoya and Evans",2013,Australia,EdTech,1,8,0,MVP,1,3,437839.21,1098312.91,5160990.34,970213.0,84.6,51.18,40,-7,8,0.0,6,1997212.69,941801105.27,31.66,Fail
93,"Garcia, Humphrey and Baker",2011,China,CleanTech,5,18,1,MVP,7,3,6930296.69,1238979.6,4473801.37,404075.0,39.99,86.53,3,31,3,1.5,3,917549.35,760291651.31,34.89,Unclear
94,Newton and Sons,2013,France,AI,3,15,1,MVP,8,3,5040614.83,548711.97,7395127.44,207346.0,22.91,49.41,83,29,4,10.0,2,5909699.91,90554399.24,42.87,Success
95,Campbell-Clark,2012,Israel,FinTech,1,15,1,MVP,6,5,4755528.42,1653603.33,3324574.77,208271.0,97.81,46.24,68,50,9,2.0,7,520951.39,738952344.34,33.57,Fail
96,Harris-Walters,2016,Canada,FinTech,4,17,0,Idea,8,6,691558.37,328695.59,13320473.59,76122.8,55.16,30.97,85,-46,2,3.0,9,12562891.94,260070367.12,32.67,Fail
97,Wagner-King,2006,Israel,CleanTech,3,20,0,Idea,3,4,196232.05,1698.22,12293498.03,98486.70000000001,51.62,83.76,23,-60,8,8.0,10,12292028.2,192215556.35,32.83,Success
98,Davis Group,2005,Germany,E-Commerce,5,20,1,Scale,6,9,9814886.64,1904782.8,12647912.31,403243.0,94.61,90.36,16,95,5,0.0,6,9360099.46,211169038.6,2.06,Success
99,Williams-Cook,2020,India,CleanTech,3,10,0,Idea,4,7,645306.53,783113.59,4495949.86,49059.5,40.81,97.79,4,64,0,2.0,9,4339732.44,972413189.35,22.09,Fail
100,Walsh LLC,2009,Germany,FoodTech,4,6,0,MVP,4,6,3656561.75,1914979.6,4930580.28,256080.0,84.81,98.12,56,38,8,4.0,0,3417179.16,662522299.31,27.56,Fail
101,Figueroa PLC,2007,France,SaaS,3,8,1,Growth,2,7,6002022.08,555863.2,15747805.18,614157.0,70.07,98.04,25,63,10,6.0,10,15205269.29,978076689.34,33.25,Unclear
102,"Patterson, Smith and Jones",2016,Singapore,SaaS,5,3,0,Scale,8,3,2164708.63,126897.27,13802235.45,373596.0,96.77,71.2,99,-86,4,4.0,6,13664713.71,848723251.13,14.56,Fail
103,"Mckee, Gardner and Davenport",2012,Singapore,E-Commerce,1,12,0,Growth,9,7,6338418.65,1545039.21,17503596.98,130041.0,42.87,56.27,71,0,2,10.0,0,16757267.11,925647096.39,33.9,Fail
104,"Tran, Jordan and Williams",2007,India,EdTech,5,3,0,MVP,4,5,282171.41,1671639.06,8070114.36,531472.0,90.76,17.23,72,-34,3,5.0,0,7652552.02,559389497.59,19.79,Success
105,Nolan-Flynn,2005,Australia,FoodTech,1,18,0,Growth,5,2,3411819.11,984173.8,10946556.64,941760.0,56.89,76.71,16,11,4,3.0,10,9238904.72,355252900.24,35.77,Fail
106,Nolan and Sons,2007,Canada,EdTech,2,1,0,Scale,2,7,7475168.97,147700.68,14775554.12,834771.0,47.59,73.49,55,57,0,4.0,4,14557848.02,741148770.2,9.25,Success
107,"Wright, Garcia and Deleon",2009,Australia,Blockchain,5,8,1,Idea,9,6,807977.85,1308268.15,19483099.38,4489.6,30.57,84.24,7,-44,9,7.0,9,17188923.71,27885000.42,15.23,Unclear
108,Dickson-Brady,2019,Canada,IoT,5,11,0,MVP,6,9,2529194.13,364287.95,19792636.26,18557.0,55.27,46.25,63,89,2,4.0,4,19651323.17,647312469.0,47.48,Success
109,Hancock and Sons,2018,China,FoodTech,4,1,0,Maturity,8,4,5394094.61,1698763.1,19983508.25,948021.0,57.26,89.24,68,-68,6,9.0,1,15153798.44,956919724.16,37.9,Success
110,Johnson-Doyle,2007,France,AI,3,5,1,Scale,8,10,5284928.9,548046.24,17810529.66,364157.0,89.84,71.87,9,-36,8,1.0,6,17130918.44,847404822.68,44.93,Fail
111,Patton-Jenkins,2005,Germany,E-Commerce,1,4,1,Idea,9,3,421456.05,1695412.78,12793016.38,19673.7,70.41,17.11,49,-100,5,7.0,2,10506890.74,197569490.47,10.01,Success
112,"Shields, Cochran and Adams",2009,Singapore,HealthTech,1,4,0,Growth,9,0,2284329.83,853849.08,139419.02,212624.0,82.65,20.69,54,30,3,2.0,10,0.0,136761357.26,47.14,Fail
113,"Rodriguez, Brennan and Garrison",2018,Israel,IoT,4,19,1,MVP,4,9,7032282.33,1192975.68,13990875.27,55039.0,76.91,81.43,13,-92,3,4.0,10,11520962.9,828215924.72,37.21,Success
114,Gonzalez Group,2011,UK,CleanTech,4,4,0,Maturity,6,2,2523616.82,1579125.03,4771990.32,460310.0,27.66,42.57,90,-69,8,5.0,0,2948771.57,62856678.74,29.53,Fail
115,Torres-Pope,2013,USA,FinTech,3,3,1,Maturity,2,1,9110257.37,80878.49,1143342.95,469205.0,20.58,24.9,26,-24,0,5.0,6,1108609.66,995352689.29,0.64,Success
116,Walker Ltd,2019,UK,CleanTech,3,8,0,Idea,5,7,528501.29,1642332.01,13943688.58,87155.20000000001,25.85,42.26,4,-56,5,0.0,10,10085254.82,472725393.91,2.6,Fail
117,Ross LLC,2019,Germany,FinTech,5,9,1,Growth,7,7,8704783.37,277296.08,15120218.54,931339.0,14.66,16.14,78,-6,3,2.0,3,14903463.81,928316631.05,38.62,Fail
118,Rasmussen LLC,2014,Germany,CleanTech,2,15,0,Scale,7,4,2907427.21,716836.71,13188662.4,36492.0,38.6,89.17,27,84,2,0.0,3,12236273.71,813164407.68,33.45,Unclear
119,May-Ross,2017,Canada,E-Commerce,3,9,1,Scale,1,4,8070791.56,945562.06,7303395.68,576973.0,65.39,7.15,4,-80,10,6.0,2,5509677.41,700398179.86,10.68,Unclear
120,"Rivera, Johnson and Wiley",2023,Australia,SaaS,4,9,0,Maturity,5,10,1136635.85,1790853.17,10220082.48,906185.0,53.7,35.32,85,-78,0,1.0,6,5033595.03,213699291.62,22.06,Fail
121,White-Estes,2011,UK,FinTech,3,18,0,Scale,6,3,7668303.42,44881.26,18698952.54,386827.0,67.92,55.69,11,53,4,9.0,1,18694430.53,94795839.56,32.8,Fail
122,Johnson-Carlson,2021,Canada,CleanTech,1,9,0,MVP,6,0,3869458.5,1118405.22,14592219.32,502840.0,35.61,87.36,7,16,3,6.0,6,12851305.49,659109790.75,0.76,Fail
123,Chandler-Edwards,2024,Canada,E-Commerce,2,5,1,MVP,2,0,4699900.89,1285045.0,10093684.67,4693.0,20.53,78.15,58,99,9,2.0,9,6484799.7,197843481.95,33.86,Success
124,"Joyce, Wilson and Lam",2008,Australia,CleanTech,5,16,1,Growth,8,5,1668073.2,633164.62,11868983.04,572689.0,20.28,2.24,64,3,3,2.0,7,11384333.35,830426169.75,20.08,Success
125,Scott Ltd,2009,Israel,FoodTech,1,4,0,Idea,1,3,18627.69,580973.54,18553671.97,15626.2,60.09,82.52,98,-71,7,0.0,1,18357943.43,76420444.59,4.74,Success
126,Smith-Frost,2011,Singapore,E-Commerce,1,5,0,Growth,10,3,6661974.93,980938.32,7875650.45,650578.0,16.43,63.81,59,14,10,6.0,7,6119262.34,528615886.11,8.18,Success
127,"Mcdaniel, Bentley and Mclaughlin",2017,India,Blockchain,2,14,0,Idea,2,2,587718.28,374200.84,2036874.31,16367.7,39.72,13.33,79,-32,10,7.0,6,1866022.13,427828042.4,21.33,Success
128,Diaz Inc,2019,Singapore,IoT,5,18,0,Idea,10,8,622428.15,936237.86,6516524.83,67700.6,21.28,61.75,54,51,1,10.0,9,4048026.34,925614715.83,31.32,Fail
129,"Mccall, Hanson and Alvarado",2015,USA,FoodTech,4,17,1,Idea,1,2,255001.76,1530050.65,8304004.29,17655.0,66.28,81.79,93,-27,10,3.0,7,4984534.82,899518318.59,17.22,Fail
130,Cortez LLC,2008,UK,Blockchain,5,3,1,Growth,10,7,2392774.63,1690791.01,5459277.4,289101.0,61.54,60.21,42,-37,9,8.0,2,4845399.56,723096673.02,5.5,Unclear
131,"Parker, Ortiz and Powell",2017,Singapore,EdTech,3,7,1,Maturity,8,1,8302963.11,770322.77,10579448.11,116552.0,38.11,99.91,40,62,10,3.0,5,9244984.28,757764059.65,41.32,Success
132,Spencer-Lee,2011,India,SaaS,1,15,0,MVP,3,3,7612527.53,1234603.43,6097157.5,475076.0,12.87,50.7,9,49,9,9.0,0,5996728.51,709466797.0,25.01,Success
133,"Bentley, Byrd and Orr",2023,China,Blockchain,3,18,0,Idea,1,0,336790.12,41.04,2063591.71,97680.0,21.18,67.31,97,-62,3,4.0,6,2063487.66,678051226.39,14.15,Success
134,"Carroll, Sullivan and Bass",2006,UK,Blockchain,4,19,1,Maturity,2,10,6378057.16,1100704.97,3761370.27,220292.0,47.22,7.04,74,-46,10,5.0,10,3082991.21,996975715.26,34.17,Fail
135,Mitchell-Jordan,2014,India,FoodTech,3,2,1,Growth,3,4,8281500.04,1950472.61,18363121.67,372567.0,97.21,81.32,83,-94,0,5.0,3,14080957.66,738706837.11,16.81,Success
