startup_id,retention_d1,retention_d7,retention_d30,sessions_per_user,time_in_app_minutes,actions_per_session,app_rating,nps,user_growth_rate,viral_coefficient,organic_percentage
106,47.45,27.46,33.03,17.77,8.74,28.59,1.74,57,47.59,0.96,58.45
107,58.73,45.68,27.11,2.33,53.06,3.3,1.19,-44,30.57,1.99,59.93
108,82.89,26.96,51.79,8.96,49.88,17.89,2.5,89,55.27,1.47,44.43
109,46.02,73.66,28.46,12.08,39.47,27.55,2.54,-68,57.26,1.7,89.41
110,35.39,87.64,22.51,3.79,28.05,1.28,1.5,-36,89.84,0.2,71.07
111,50.28,87.91,22.72,15.54,56.04,19.3,1.25,-100,70.41,0.51,37.13
112,41.29,80.55,20.4,15.14,50.01,14.77,1.42,30,82.65,0.27,18.14
113,95.08,62.06,48.09,18.16,30.46,11.06,3.49,-92,76.91,0.93,34.93
114,86.57,69.06,38.04,1.16,42.41,19.2,1.6,-69,27.66,1.44,70.8
115,74.34,39.96,19.36,5.12,34.45,2.53,2.5,-24,20.58,0.34,22.97
116,91.0,64.15,21.13,16.72,35.69,22.84,1.44,-56,25.85,0.26,60.05
117,86.26,51.9,21.26,13.74,20.53,1.13,1.51,-6,14.66,1.23,83.59
118,43.06,53.74,57.03,17.99,28.26,9.9,2.59,84,38.6,0.46,74.62
119,92.48,73.04,14.88,2.09,5.61,15.61,1.23,-80,65.39,0.96,21.97
120,67.75,39.73,52.0,12.34,22.08,11.93,2.13,-78,53.7,0.1,68.9
121,86.52,42.26,21.39,11.81,42.05,9.92,1.85,53,67.92,1.36,74.05
122,92.73,84.72,31.25,1.68,57.24,25.09,2.03,16,35.61,1.08,28.53
123,52.26,23.94,73.8,10.76,57.82,28.11,3.88,99,20.53,1.29,52.58
124,37.7,53.99,56.48,12.58,33.79,26.34,1.81,3,20.28,0.55,59.37
125,45.96,83.9,14.41,4.63,36.79,16.15,3.34,-71,60.09,0.56,75.63
126,59.9,62.73,63.1,6.19,11.96,26.64,4.0,14,16.43,1.6,41.38
127,87.26,58.25,41.05,13.17,42.02,27.7,3.51,-32,39.72,1.44,36.6
128,90.25,37.48,67.5,9.9,5.17,12.87,2.61,51,21.28,1.16,54.15
129,30.49,44.03,47.48,17.3,17.8,9.22,3.78,-27,66.28,1.26,86.83
130,65.75,79.64,51.22,7.51,40.43,3.85,2.08,-37,61.54,0.19,71.02
131,59.22,59.15,76.6,6.07,19.31,14.89,2.24,62,38.11,1.71,47.04
132,45.55,56.03,32.93,19.71,3.94,28.44,1.22,49,12.87,1.54,50.22
133,38.39,26.97,45.98,18.31,50.08,17.27,4.14,-62,21.18,1.18,81.92
134,53.63,21.12,38.1,1.55,19.31,20.36,2.2,-46,47.22,1.84,80.85
135,96.0,87.46,10.69,15.64,4.72,4.27,3.46,-94,97.21,0.34,73.32
136,52.62,46.39,23.93,3.1,5.41,5.16,1.63,89,27.08,1.37,83.87
137,66.32,62.22,17.72,1.52,15.85,14.47,3.52,-62,19.12,1.93,49.44
138,79.21,25.58,56.11,6.2,11.5,28.59,4.06,47,22.07,0.62,64.16
139,55.45,67.82,48.0,6.12,46.68,11.46,4.03,3,70.81,0.03,10.52
140,98.02,85.28,53.63,16.57,19.98,26.45,2.82,83,91.47,1.47,80.57
141,97.37,60.3,17.38,14.5,48.48,4.49,3.31,-5,7.52,0.01,45.11
142,47.62,28.83,49.72,19.65,11.26,18.89,4.0,93,74.93,1.75,93.41
143,64.81,60.72,71.14,14.52,30.08,18.42,2.73,42,49.46,0.11,69.17
144,51.06,73.64,42.11,8.95,41.59,25.94,2.44,48,82.52,1.31,29.78
145,49.94,48.45,45.64,14.28,39.47,1.1,3.52,-67,42.15,0.75,28.43
146,32.58,81.59,54.39,19.99,36.47,6.51,2.51,-66,0.52,0.41,43.61
147,72.67,65.41,61.02,14.49,55.56,7.37,3.78,14,68.28,1.8,89.36
148,65.19,82.95,37.4,15.47,14.48,28.55,1.6,-96,80.8,1.49,80.7
149,33.6,63.65,60.45,18.83,30.13,5.46,3.22,-45,90.2,0.68,77.97
150,49.51,29.19,36.48,3.16,53.16,2.07,1.6,-18,56.91,0.57,54.46
151,93.58,41.68,58.25,14.39,5.6,16.5,2.6,-94,12.2,1.47,45.24
152,46.77,34.13,25.61,17.17,4.3,16.33,1.83,-48,36.98,1.67,33.68
153,40.14,83.62,37.37,19.13,14.76,25.48,3.49,71,78.43,1.43,42.52
154,64.26,73.23,25.77,5.01,38.35,28.52,1.45,85,49.44,1.28,68.74
155,99.0,67.35,60.95,10.57,16.33,16.62,3.95,5,69.92,0.46,72.19
156,46.94,41.07,34.64,13.93,12.22,27.97,3.51,-59,0.47,1.71,52.8
157,77.05,32.88,22.19,5.7,28.07,22.03,2.49,-83,7.3,1.5,84.66
158,83.31,72.95,21.38,12.41,37.2,8.67,1.75,-95,68.12,1.03,47.4
159,46.63,53.19,68.96,5.89,15.66,27.92,2.43,31,29.02,1.02,41.77
160,80.98,35.81,70.38,7.34,18.74,20.36,3.03,96,38.82,1.14,56.13
161,55.74,63.16,50.28,9.39,37.2,13.01,1.46,41,64.21,1.66,59.71
162,74.26,22.82,55.94,11.05,56.8,20.73,2.98,68,11.2,1.48,86.84
163,74.35,42.83,48.48,9.54,40.81,12.64,4.02,74,83.27,1.71,62.19
164,67.5,52.8,37.61,10.37,47.19,4.31,1.69,-4,14.44,1.01,39.69
165,36.32,30.36,63.43,6.67,22.64,21.85,3.42,-48,73.33,1.25,78.82
166,88.47,88.93,16.63,4.02,17.06,24.9,3.67,-80,29.28,1.71,95.56
167,52.45,34.64,42.63,1.9,27.8,22.14,3.7,40,26.0,0.46,54.8
168,43.06,29.12,42.74,4.72,48.62,7.64,3.59,93,82.13,0.89,36.1
169,32.85,34.25,47.26,12.06,27.92,28.74,3.67,42,55.22,1.24,40.66
170,71.36,73.83,41.47,15.94,50.96,1.73,2.2,-2,20.55,1.83,38.09
171,77.43,49.79,50.82,4.22,59.34,10.65,3.89,72,0.25,0.03,12.34
172,31.16,59.58,22.48,3.06,5.25,8.54,3.63,-17,97.3,0.43,71.02
173,65.85,21.47,52.1,15.24,3.68,2.4,2.78,92,43.14,0.47,20.11
174,45.85,22.41,35.42,6.8,9.83,12.77,2.1,73,39.74,0.65,47.31
175,75.16,51.21,28.72,19.08,23.68,19.07,2.2,30,5.03,0.56,59.44
176,42.21,77.17,23.15,14.57,8.73,26.59,1.85,44,89.44,1.18,78.28
177,78.37,81.97,62.23,7.21,52.37,29.7,2.25,44,14.06,1.77,44.36
178,57.07,26.07,33.46,6.5,2.37,24.43,3.03,-81,33.55,1.27,53.69
179,95.57,57.69,43.33,10.95,19.63,14.59,3.08,-97,42.11,0.48,30.09
180,39.63,83.93,54.67,2.5,11.9,21.99,2.91,-26,81.01,1.73,49.03
181,53.87,47.16,47.16,3.24,55.96,25.47,1.83,-86,35.95,1.26,45.1
182,37.94,78.07,38.83,4.34,40.5,14.49,3.58,-44,53.15,0.44,50.56
183,94.73,29.36,43.48,15.72,54.81,23.77,1.75,72,42.87,0.72,18.89
184,91.41,85.48,31.13,10.76,58.37,15.0,1.57,-74,31.18,1.58,56.45
185,48.06,72.6,45.36,1.2,30.33,12.21,3.27,-81,94.63,1.48,40.94
186,76.2,85.89,44.27,13.8,14.82,16.26,2.49,7,79.69,1.15,85.23
187,87.21,67.36,61.79,9.05,12.43,20.6,1.91,-22,17.44,0.29,48.05
188,68.86,45.44,67.62,10.71,14.15,22.08,2.76,33,55.47,1.61,85.79
189,67.08,85.67,18.91,5.07,42.81,11.35,3.19,-83,79.66,0.62,28.55
190,46.93,39.29,22.43,11.48,3.39,17.57,2.72,-15,57.98,1.54,81.18
191,36.52,43.25,47.14,19.6,4.03,27.39,2.53,-52,49.38,1.3,52.56
192,92.81,69.06,36.95,2.4,36.88,29.31,1.7,51,7.21,0.53,26.12
193,93.03,73.57,9.84,6.39,38.88,7.59,2.64,-90,10.61,0.42,61.33
194,74.32,85.06,69.36,5.62,40.25,6.59,4.27,45,24.52,0.26,58.93
195,53.73,34.34,23.43,5.72,22.94,20.62,2.9,-66,51.34,0.48,77.0
196,54.44,75.86,64.36,8.2,48.55,13.03,4.1,-46,98.73,0.32,60.93
197,80.82,71.7,55.7,16.54,32.48,1.7,3.06,-6,80.23,1.23,34.66
198,92.8,24.47,52.87,18.34,7.22,11.06,3.66,-73,11.01,1.2,45.28
199,92.1,47.11,26.24,4.84,48.03,24.4,3.57,-13,71.73,1.17,53.04
200,84.59,39.79,34.15,11.32,57.23,24.13,3.26,63,81.05,1.28,34.24
201,74.94,41.31,45.83,13.1,4.54,15.35,3.94,8,41.43,1.63,81.09
202,35.89,88.81,19.48,10.91,24.09,14.7,2.24,-77,33.01,1.83,67.59
203,41.31,64.99,37.9,9.25,29.76,17.81,3.7,60,58.46,0.46,73.41
204,92.9,70.24,35.2,4.65,9.64,7.36,2.93,15,51.92,1.18,61.76
205,72.45,88.36,30.06,10.28,52.19,16.26,3.45,64,26.52,0.16,42.29
206,30.64,46.4,30.69,8.62,17.76,1.32,1.18,40,39.74,0.24,15.1
207,37.1,76.13,53.36,16.12,47.2,14.79,3.52,-85,54.44,1.31,36.04
208,76.45,50.42,26.24,15.51,40.59,10.75,3.4,11,57.99,0.97,75.12
209,30.35,80.87,23.19,3.55,36.28,20.57,1.37,70,53.17,1.52,92.16
210,41.26,32.65,49.0,2.68,12.34,19.51,3.36,-28,84.61,0.85,45.93
211,68.41,86.34,66.58,18.25,14.02,12.04,4.18,-51,3.17,0.26,61.86
212,78.43,35.31,35.35,11.17,3.79,1.21,2.0,10,33.3,1.74,72.7
213,75.64,42.84,15.6,17.3,15.2,8.32,2.11,-88,74.98,0.17,69.91
214,45.7,72.93,45.54,2.1,21.38,19.37,3.04,-30,65.18,0.38,27.67
215,79.85,47.56,71.72,11.0,50.16,3.1,3.26,62,91.83,0.55,49.63
216,46.61,62.57,67.91,11.25,22.62,4.12,1.78,100,58.8,1.99,62.61
217,52.78,51.12,45.58,17.35,45.52,19.76,1.78,-66,63.82,0.83,53.63
218,82.25,71.97,27.48,2.85,26.93,22.92,1.46,-77,70.49,1.0,38.99
219,75.47,35.98,52.75,5.57,47.31,10.32,2.15,80,18.62,1.54,61.45
220,89.45,24.09,16.15,8.72,58.6,15.2,1.63,-62,75.32,1.27,65.46
221,76.03,41.0,57.7,17.45,15.15,28.43,3.64,46,29.99,1.68,37.36
222,69.78,53.2,62.29,18.84,51.88,28.42,3.22,71,42.45,0.97,68.4
223,36.56,31.76,72.04,19.86,37.69,9.92,4.0,25,1.4,1.94,80.68
224,55.74,44.84,36.42,19.22,49.22,24.49,1.32,73,84.36,1.59,86.37
225,48.56,48.0,22.79,1.11,39.44,18.22,2.23,72,95.35,0.8,45.87
226,47.08,24.02,51.27,1.91,26.01,29.29,2.33,59,6.02,0.76,22.32
227,98.11,60.83,47.9,3.8,14.46,14.85,3.97,-96,63.52,1.86,63.96
228,57.52,81.9,58.26,7.63,5.13,23.47,3.66,-25,96.08,1.37,36.2
229,92.44,30.62,27.09,16.77,32.6,23.28,3.49,3,60.69,1.24,66.43
230,74.18,61.85,33.3,17.96,59.43,15.43,1.25,33,79.8,1.52,32.7
231,85.64,66.53,43.19,4.55,44.54,24.07,3.41,-19,11.81,1.12,47.39
232,65.18,49.35,26.99,12.77,20.31,8.57,2.71,-94,24.48,0.32,16.99
233,70.38,69.08,57.31,18.43,49.81,4.55,4.06,-86,34.57,0.64,16.79
234,64.48,48.75,40.29,9.81,46.37,13.33,2.77,-28,98.12,1.12,84.25
235,43.67,55.32,54.3,2.97,17.62,28.37,3.2,-81,78.18,0.04,70.3
236,80.57,20.51,45.15,9.7,1.84,15.52,1.6,-42,88.57,0.87,55.12
237,49.65,68.42,51.53,8.14,7.97,19.42,3.53,-97,48.71,1.51,44.73
238,31.7,66.29,35.03,11.98,52.76,19.1,1.96,5,71.68,0.33,69.33
239,75.18,22.69,57.68,9.33,50.36,4.84,1.78,-61,73.16,0.13,67.09
240,42.4,45.78,28.5,1.33,18.42,12.32,1.32,-36,56.89,1.67,85.91
241,95.83,88.53,41.3,19.89,17.83,21.5,4.1,-66,87.8,1.23,59.81
242,96.78,49.45,23.42,11.33,47.78,29.19,2.04,-57,15.83,0.35,17.0
243,94.04,55.14,35.11,10.0,56.33,5.87,3.78,-94,5.75,1.61,36.76
244,55.91,83.7,37.74,19.14,46.97,12.9,3.87,49,30.41,1.32,83.23
245,31.08,70.21,24.7,3.96,36.73,3.76,3.77,-78,8.83,0.67,72.2
246,94.98,60.74,67.27,4.6,15.32,8.03,4.33,-36,6.03,0.75,45.65
247,59.97,75.85,23.92,16.35,32.02,11.93,3.52,-13,41.91,0.31,32.35
248,97.67,80.51,53.61,5.96,14.78,16.68,2.49,-81,20.05,1.67,72.64
249,97.45,51.98,65.59,16.19,48.67,7.69,2.31,-69,79.01,1.02,73.11
250,89.71,53.26,16.79,6.16,23.83,7.6,2.66,-4,57.98,1.11,69.81
251,50.61,47.02,60.19,1.63,50.19,23.56,2.95,63,36.06,1.77,72.29
252,56.96,87.67,33.76,10.82,23.51,28.92,1.39,45,28.65,0.03,22.06
253,89.58,68.8,17.95,4.74,49.62,10.38,2.79,-4,56.31,0.13,25.55
254,52.18,25.83,43.36,15.4,20.67,20.95,2.85,60,43.4,0.32,57.46
255,41.86,80.41,65.81,13.18,26.97,8.48,4.25,-32,5.57,0.06,58.47
256,68.98,53.64,15.14,18.55,37.31,27.91,2.57,-19,66.52,1.32,34.06
257,95.53,24.81,41.56,15.88,5.15,20.51,3.07,-92,49.98,1.27,37.82
258,78.72,58.48,39.36,4.43,56.94,24.28,2.61,-59,27.69,0.42,56.19
259,69.9,49.2,72.75,16.2,34.84,2.43,3.06,98,29.04,0.3,35.99
260,36.8,81.44,22.78,13.19,30.96,18.36,3.61,26,45.28,0.29,46.86
261,73.05,34.28,54.89,13.71,50.52,16.3,1.95,9,82.76,1.91,74.33
262,99.3,77.85,56.57,16.81,52.08,9.5,2.81,31,42.31,1.39,76.71
263,39.81,59.04,59.31,11.9,31.81,8.61,3.39,73,83.96,1.17,75.32
264,66.28,23.82,66.45,9.85,55.71,17.82,3.05,-29,42.49,0.64,34.32
265,91.42,88.03,66.17,13.1,4.82,21.49,2.51,51,82.99,0.87,54.09
266,81.85,55.88,16.03,6.66,7.68,1.96,1.7,-29,93.15,0.18,17.46
267,78.79,40.36,44.22,4.47,36.21,17.45,2.0,23,2.06,2.0,89.99
268,79.17,52.86,45.97,12.72,21.89,5.94,2.23,96,6.23,1.51,82.92
269,55.16,80.05,27.13,5.44,28.39,5.07,3.62,-78,13.4,1.24,44.51
270,50.55,41.34,41.75,2.52,20.36,19.07,2.74,6,12.21,1.18,34.75
271,86.66,33.49,44.07,1.01,24.88,10.02,1.93,82,45.45,1.01,26.55
272,86.71,29.03,39.97,12.56,49.54,13.79,2.38,-3,76.4,0.51,50.95
273,90.7,40.85,74.2,7.88,36.02,11.44,2.17,42,96.13,0.45,19.55
274,93.93,74.6,16.96,15.29,59.84,19.8,3.47,-50,41.78,1.1,66.36
275,65.79,53.01,69.4,8.13,47.43,14.63,2.96,22,68.85,0.14,51.83
276,65.11,35.92,38.81,10.23,17.15,28.94,4.1,-51,63.55,0.15,47.92
277,85.88,31.63,56.85,8.73,16.6,11.22,2.48,74,39.32,1.12,79.05
278,75.5,43.29,61.05,13.36,20.82,22.47,4.06,-18,72.11,1.84,58.43
279,79.14,85.79,30.11,7.77,50.75,8.46,1.95,-76,59.2,1.83,91.27
280,85.71,44.01,35.14,19.31,2.61,15.75,1.52,-62,75.99,0.02,9.65
281,92.3,89.17,36.29,18.79,14.58,17.02,1.37,-33,19.36,0.21,17.33
282,53.66,53.97,42.82,17.11,54.39,10.54,2.94,73,36.03,1.17,50.46
283,56.29,32.54,65.51,18.49,38.75,14.68,2.69,-29,67.12,1.7,69.88
284,36.58,82.38,63.86,9.53,14.38,9.1,2.96,18,12.48,1.91,37.67
285,70.48,52.22,22.5,11.19,13.93,1.17,3.26,5,77.04,1.72,68.57
286,32.52,69.68,15.01,15.1,51.89,7.25,1.66,-88,13.34,1.36,46.69
287,62.59,88.86,45.16,14.23,53.73,21.3,2.16,65,32.45,0.4,68.91
288,67.99,23.51,16.32,17.92,16.11,23.36,3.32,-65,23.75,0.15,42.78
289,50.06,26.77,55.79,14.61,25.81,9.13,2.88,64,6.1,0.1,45.46
290,71.36,70.43,29.57,19.96,50.24,12.83,3.32,69,27.07,1.22,84.94
291,32.14,39.73,46.77,7.62,46.49,2.08,2.45,19,91.15,0.07,56.23
292,32.61,32.9,17.04,16.83,49.02,7.87,1.97,8,2.69,1.48,56.79
293,87.58,22.76,35.57,14.26,31.59,23.6,1.65,23,1.68,1.42,58.42
294,55.21,21.53,47.36,14.14,54.78,18.57,4.13,-82,70.43,0.16,50.21
295,38.89,74.21,37.99,7.19,20.23,6.97,3.87,-64,36.69,1.81,46.81
296,66.56,29.41,70.78,15.93,10.24,8.47,4.63,0,22.97,1.04,28.24
297,83.9,52.74,72.31,18.11,42.82,24.69,2.89,92,50.89,1.81,53.74
298,45.11,62.41,34.83,5.15,32.82,7.06,3.52,-16,26.67,1.8,83.09
299,73.6,49.98,13.59,12.88,51.42,10.69,2.06,-62,39.2,0.39,29.12
300,35.97,21.9,67.6,8.45,5.79,20.27,3.01,53,71.53,0.76,26.66
301,33.62,74.85,62.31,19.8,50.78,17.27,4.13,-59,11.69,0.27,24.84
302,67.19,20.74,69.08,10.1,18.3,14.37,2.21,89,95.97,1.55,73.02
303,67.84,73.33,19.33,5.34,39.64,27.09,1.6,-48,4.25,1.01,60.8
304,74.62,82.53,79.4,8.26,3.37,7.37,2.78,94,80.65,1.86,78.23
305,80.83,50.3,26.4,13.42,36.97,22.5,3.33,-51,72.46,0.42,33.53
306,98.31,57.49,56.88,2.45,43.32,5.61,2.65,4,28.21,1.38,84.4
307,66.14,53.39,74.53,12.47,22.76,18.86,2.81,96,11.83,1.98,65.14
308,52.61,47.24,29.68,18.69,13.71,26.25,3.89,6,85.24,1.33,59.33
309,85.66,82.12,71.34,17.16,32.72,14.28,2.88,56,67.96,0.14,68.84
310,48.96,82.58,35.65,2.29,50.16,22.0,1.87,29,29.09,1.18,86.35
311,60.73,43.51,64.04,19.87,20.09,24.79,3.62,-83,1.69,0.36,54.07
